Ego,Alter,visit1,visithh1
148,110,1,2
148,143,1,2
149,151,1,2
15,14,1,2
151,51,1,2
157,154,1,2
157,41,1,2
16,14,1,2
16,252,1,2
161,163,1,2
161,300,1,2
163,65,1,2
163,66,1,2
163,67,1,2
163,68,1,2
164,89,1,2
165,162,1,2
165,75,1,2
166,176,1,2
166,344,1,2
167,17,1,2
167,281,1,2
167,58,1,2
169,222,1,2
17,203,1,2
17,263,1,2
17,281,1,2
170,174,1,2
170,317,1,2
172,223,1,2
173,126,1,2
173,171,1,2
173,331,1,2
176,234,1,2
177,27,1,2
178,30,1,2
178,31,1,2
179,39,1,2
180,116,1,2
180,143,1,2
184,307,1,2
184,309,1,2
187,206,1,2
188,211,1,2
188,83,1,2
189,246,1,2
189,354,1,2
190,36,1,2
193,86,1,2
194,129,1,2
194,129,1,2
194,129,1,2
194,129,1,2
197,357,1,2
199,77,1,2
2,92,1,2
200,252,1,2
200,72,1,2
201,112,1,2
202,199,1,2
202,200,1,2
203,17,1,2
204,14,1,2
204,252,1,2
205,10,1,2
206,187,1,2
206,95,1,2
207,10,1,2
207,171,1,2
207,173,1,2
208,206,1,2
209,128,1,2
209,311,1,2
210,143,1,2
210,274,1,2
210,289,1,2
211,120,1,2
212,289,1,2
214,166,1,2
214,176,1,2
214,217,1,2
217,344,1,2
217,349,1,2
22,117,1,2
22,291,1,2
222,221,1,2
223,273,1,2
223,4,1,2
225,193,1,2
226,219,1,2
226,227,1,2
227,219,1,2
228,50,1,2
229,253,1,2
230,361,1,2
232,16,1,2
232,361,1,2
233,308,1,2
233,361,1,2
234,166,1,2
234,176,1,2
234,214,1,2
236,114,1,2
236,14,1,2
236,16,1,2
236,298,1,2
237,78,1,2
241,282,1,2
244,245,1,2
244,335,1,2
245,244,1,2
246,189,1,2
247,257,1,2
248,126,1,2
248,173,1,2
249,287,1,2
249,288,1,2
249,289,1,2
25,145,1,2
251,322,1,2
252,200,1,2
252,72,1,2
253,171,1,2
253,207,1,2
253,254,1,2
255,253,1,2
257,140,1,2
259,163,1,2
261,22,1,2
265,361,1,2
27,177,1,2
27,219,1,2
270,140,1,2
270,93,1,2
271,151,1,2
271,365,1,2
271,49,1,2
272,296,1,2
273,223,1,2
274,93,1,2
275,359,1,2
276,149,1,2
276,51,1,2
277,172,1,2
278,116,1,2
278,260,1,2
279,303,1,2
28,25,1,2
28,265,1,2
28,28,1,2
281,167,1,2
281,17,1,2
281,58,1,2
282,134,1,2
282,136,1,2
282,312,1,2
283,173,1,2
284,171,1,2
287,249,1,2
287,288,1,2
288,291,1,2
288,296,1,2
288,305,1,2
29,178,1,2
290,126,1,2
290,248,1,2
291,74,1,2
293,249,1,2
293,285,1,2
293,308,1,2
293,320,1,2
294,146,1,2
294,75,1,2
295,41,1,2
298,78,1,2
299,145,1,2
301,151,1,2
302,121,1,2
302,311,1,2
303,278,1,2
303,279,1,2
305,288,1,2
307,95,1,2
307,96,1,2
309,50,1,2
309,80,1,2
31,178,1,2
31,219,1,2
31,30,1,2
311,128,1,2
316,137,1,2
319,122,1,2
319,320,1,2
320,66,1,2
321,320,1,2
323,178,1,2
323,329,1,2
324,161,1,2
324,298,1,2
324,50,1,2
326,324,1,2
326,42,1,2
328,50,1,2
328,78,1,2
329,323,1,2
330,126,1,2
334,242,1,2
334,333,1,2
336,132,1,2
336,138,1,2
337,53,1,2
339,61,1,2
34,221,1,2
34,222,1,2
343,1,1,2
343,343,1,2
345,1,1,2
347,260,1,2
347,362,1,2
348,362,1,2
349,1,1,2
