,Effort,Strategy,Threshold,Listening_prob,AUCResult,AUCLow,AUCUpp,type,intervention cost,datacost,totalcost,costbenefit,mincost,maxcost
155,10,KP Eigenvector,1,1,84.46575342,84.46575342,84.46575342,Network,146,5160,5306,0.015918913,0.015918913,0.015918913
156,10,KP Eigenvector,3,0.2,5.938356164,4.684931507,6.616438356,Network,146,5160,5306,0.001119178,0.00088295,0.001246973
157,10,KP Eigenvector,3,0.4,6.880821918,6.410958904,7.191780822,Network,146,5160,5306,0.0012968,0.001208247,0.001355405
158,10,KP Eigenvector,3,0.6,7.080821918,6.726027397,7.246575342,Network,146,5160,5306,0.001334493,0.001267627,0.001365732
159,10,KP Eigenvector,3,0.8,7.203424658,6.97260274,7.273972603,Network,146,5160,5306,0.0013576,0.001314098,0.001370896
160,10,KP Eigenvector,3,1,7.273972603,7.273972603,7.273972603,Network,146,5160,5306,0.001370896,0.001370896,0.001370896
271,20,KP Eigenvector,1,0.2,79.24726027,77.26027397,81.2739726,Network,348,5160,5508,0.014387665,0.01402692,0.014755623
272,20,KP Eigenvector,1,0.4,87.11506849,85.64383562,87.82191781,Network,348,5160,5508,0.015816098,0.01554899,0.01594443
273,20,KP Eigenvector,1,0.6,88.82945205,88.5890411,89.02739726,Network,348,5160,5508,0.016127351,0.016083704,0.016163289
274,20,KP Eigenvector,1,0.8,89.1260274,88.98630137,89.28767123,Network,348,5160,5508,0.016181196,0.016155828,0.016210543
275,20,KP Eigenvector,1,1,89.35616438,89.35616438,89.35616438,Network,348,5160,5508,0.016222978,0.016222978,0.016222978
276,20,KP Eigenvector,3,0.2,13.16780822,10.61643836,14.87671233,Network,348,5160,5508,0.00239067,0.001927458,0.002700928
277,20,KP Eigenvector,3,0.4,16.56027397,15.57534247,17.38356164,Network,348,5160,5508,0.003006586,0.002827767,0.003156057
278,20,KP Eigenvector,3,0.6,17.69794521,16.78082192,18.12328767,Network,348,5160,5508,0.003213135,0.003046627,0.003290357
279,20,KP Eigenvector,3,0.8,18.04041096,17.73972603,18.19178082,Network,348,5160,5508,0.003275311,0.00322072,0.003302792
280,20,KP Eigenvector,3,1,18.21917808,18.21917808,18.21917808,Network,348,5160,5508,0.003307767,0.003307767,0.003307767
391,30,KP Eigenvector,1,0.2,82.46575342,81.02739726,85.01369863,Network,502,5160,5662,0.014564775,0.014310738,0.015014783
392,30,KP Eigenvector,1,0.4,89.85821918,89.54794521,90.4109589,Network,502,5160,5662,0.015870403,0.015815603,0.015968025
