,Effort,Strategy,Threshold,Listening_prob,AUCResult,AUCLow,AUCUpp,type,intervention cost,datacost,totalcost,costbenefit,mincost,maxcost
283,20,Low attitudes,1,0.6,87.84452055,87.53424658,88.24657534,Conventional,348,2200,2548,0.034475871,0.0343541,0.034633664
284,20,Low attitudes,1,0.8,88.40958904,88.01369863,88.65753425,Conventional,348,2200,2548,0.034697641,0.034542268,0.034794951
285,20,Low attitudes,1,1,88.89041096,88.89041096,88.89041096,Conventional,348,2200,2548,0.034886347,0.034886347,0.034886347
286,20,Low attitudes,3,0.2,7.634246575,6.821917808,8.02739726,Conventional,348,2200,2548,0.002996172,0.002677362,0.00315047
287,20,Low attitudes,3,0.4,8.021232877,7.712328767,8.287671233,Conventional,348,2200,2548,0.003148051,0.003026817,0.003252618
288,20,Low attitudes,3,0.6,8.238356164,8.02739726,8.342465753,Conventional,348,2200,2548,0.003233264,0.00315047,0.003274123
289,20,Low attitudes,3,0.8,8.306849315,8.219178082,8.342465753,Conventional,348,2200,2548,0.003260145,0.003225737,0.003274123
290,20,Low attitudes,3,1,8.342465753,8.342465753,8.342465753,Conventional,348,2200,2548,0.003274123,0.003274123,0.003274123
401,30,Low attitudes,1,0.2,81.36986301,79.10958904,83.7260274,Conventional,502,2200,2702,0.030114679,0.02927816,0.030986687
402,30,Low attitudes,1,0.4,88.92465753,87.95890411,89.67123288,Conventional,502,2200,2702,0.03291068,0.032553258,0.033186985
403,30,Low attitudes,1,0.6,90.72328767,90.21917808,91.05479452,Conventional,502,2200,2702,0.033576346,0.033389777,0.033699036
404,30,Low attitudes,1,0.8,91.32328767,90.93150685,91.61643836,Conventional,502,2200,2702,0.033798404,0.033653407,0.033906898
405,30,Low attitudes,1,1,91.73972603,91.73972603,91.73972603,Conventional,502,2200,2702,0.033952526,0.033952526,0.033952526
406,30,Low attitudes,3,0.2,12.98082192,9.835616438,15.1369863,Conventional,502,2200,2702,0.004804153,0.003640125,0.005602141
407,30,Low attitudes,3,0.4,16.59246575,13.47945205,18.30136986,Conventional,502,2200,2702,0.006140809,0.004988694,0.006773268
408,30,Low attitudes,3,0.6,18.50821918,16.49315068,19.35616438,Conventional,502,2200,2702,0.006849822,0.006104053,0.007163643
409,30,Low attitudes,3,0.8,19.01575342,18.16438356,19.49315068,Conventional,502,2200,2702,0.007037659,0.00672257,0.007214341
410,30,Low attitudes,3,1,19.53424658,19.53424658,19.53424658,Conventional,502,2200,2702,0.007229551,0.007229551,0.007229551
1841,2,Random 1,1,0.2,50.66780822,43.30136986,58.17808219,other,52,,52,0.974380927,0.832718651,1.118809273
1842,2,Random 1,1,0.8,76.51780822,75.30136986,77.05479452,other,52,,52,1.471496312,1.448103267,1.481822972
1843,2,Random 1,3,0.2,0.547945205,0.547945205,0.547945205,other,52,,52,0.010537408,0.010537408,0.010537408
1844,2,Random 1,3,0.8,0.547945205,0.547945205,0.547945205,other,52,,52,0.010537408,0.010537408,0.010537408
1961,10,Random 1,1,0.2,69.89109589,67.57534247,72.02739726,other,146,,146,0.478706136,0.462844811,0.493338337
1962,10,Random 1,1,0.8,85.53767123,85.06849315,85.83561644,other,146,,146,0.58587446,0.582660912,0.587915181
1963,10,Random 1,3,0.2,2.739726027,2.739726027,2.739726027,other,146,,146,0.018765247,0.018765247,0.018765247
1964,10,Random 1,3,0.8,2.739726027,2.739726027,2.739726027,other,146,,146,0.018765247,0.018765247,0.018765247
2081,20,Random 1,1,0.2,76.58082192,74.36986301,78.67123288,other,348,,348,0.220059833,0.213706503,0.226066761
2082,20,Random 1,1,0.8,88.49863014,88.02739726,88.82191781,other,348,,348,0.254306408,0.252952291,0.255235396
2083,20,Random 1,3,0.2,8.125342466,6.931506849,8.97260274,other,348,,348,0.023348685,0.019918123,0.025783341
2084,20,Random 1,3,0.8,9.633561644,9.506849315,9.684931507,other,348,,348,0.027682648,0.027318533,0.027830263
2201,30,Random 1,1,0.2,79.90684932,78.09589041,81.84931507,other,502,,502,0.159176991,0.155569503,0.163046444
2202,30,Random 1,1,0.8,90.33424658,90.08219178,90.53424658,other,502,,502,0.179948698,0.179446597,0.180347105
2203,30,Random 1,3,0.2,11.75753425,10.82191781,12.43835616,other,502,,502,0.023421383,0.021557605,0.024777602
2204,30,Random 1,3,0.8,13.07123288,12.90410959,13.17808219,other,502,,502,0.026038313,0.025705398,0.02625116
1877,2,Random 10,1,0.2,40.80273973,27.97260274,51.89041096,other,52,,52,0.784668072,0.537934668,0.997892518
1878,2,Random 10,1,0.8,72.49520548,71.06849315,73.24657534,other,52,,52,1.394138567,1.366701791,1.408587987
1879,2,Random 10,3,0.2,0.547945205,0.547945205,0.547945205,other,52,,52,0.010537408,0.010537408,0.010537408
1880,2,Random 10,3,0.8,0.547945205,0.547945205,0.547945205,other,52,,52,0.010537408,0.010537408,0.010537408
1997,10,Random 10,1,0.2,70.59109589,67.36986301,73.2739726,other,146,,146,0.483500657,0.461437418,0.501876525
1998,10,Random 10,1,0.8,85.54863014,85.19178082,85.78082192,other,146,,146,0.585949522,0.583505348,0.587539876
1999,10,Random 10,3,0.2,3.912328767,3.123287671,4.191780822,other,146,,146,0.026796772,0.021392381,0.028710828
2000,10,Random 10,3,0.8,4.292465753,4.246575342,4.315068493,other,146,,146,0.02940045,0.029086132,0.029555264
2117,20,Random 10,1,0.2,72.49931507,68.42465753,75.32876712,other,348,,348,0.208331365,0.196622579,0.216461974
2118,20,Random 10,1,0.8,86.77808219,86.30136986,87.1369863,other,348,,348,0.249362305,0.247992442,0.250393639
2119,20,Random 10,3,0.2,5.706164384,5.479452055,5.753424658,other,348,,348,0.016397024,0.015745552,0.016532829
2120,20,Random 10,3,0.8,5.752054795,5.739726027,5.753424658,other,348,,348,0.016528893,0.016493466,0.016532829
2237,30,Random 10,1,0.2,81.8239726,79.7260274,84.94520548,other,502,,502,0.162995961,0.158816788,0.169213557
2238,30,Random 10,1,0.8,91.02191781,90.75342466,91.21917808,other,502,,502,0.181318561,0.180783714,0.18171151
2239,30,Random 10,3,0.2,14.11232877,12.17808219,17.28767123,other,502,,502,0.028112209,0.024259128,0.034437592
2240,30,Random 10,3,0.8,19.12739726,18.47945205,19.45205479,other,502,,502,0.038102385,0.036811657,0.038749113
1881,2,Random 11,1,0.2,50.65821918,42.30136986,56.98630137,other,52,,52,0.974196523,0.813487882,1.095890411
1882,2,Random 11,1,0.8,75.96712329,75.19178082,76.76712329,other,52,,52,1.460906217,1.445995785,1.476290833
1883,2,Random 11,3,0.2,0.547945205,0.547945205,0.547945205,other,52,,52,0.010537408,0.010537408,0.010537408
1884,2,Random 11,3,0.8,0.547945205,0.547945205,0.547945205,other,52,,52,0.010537408,0.010537408,0.010537408
2001,10,Random 11,1,0.2,71.72808219,67.46575342,75.17808219,other,146,,146,0.491288234,0.462094202,0.514918371
2002,10,Random 11,1,0.8,85.59109589,85.05479452,86.04109589,other,146,,146,0.586240383,0.582567086,0.589322575
2003,10,Random 11,3,0.2,5.595205479,4.287671233,6.657534247,other,146,,146,0.038323325,0.029367611,0.04559955
2004,10,Random 11,3,0.8,6.953424658,6.821917808,7.01369863,other,146,,146,0.047626196,0.046725464,0.048039032
2121,20,Random 11,1,0.2,77.98150685,76.06849315,80.82191781,other,348,,348,0.22408479,0.218587624,0.23224689
2122,20,Random 11,1,0.8,89.43835616,89.05479452,89.71232877,other,348,,348,0.257006771,0.255904582,0.257794048
2123,20,Random 11,3,0.2,12.10616438,10.32876712,14.1369863,other,348,,348,0.034787829,0.029680365,0.040623524
2124,20,Random 11,3,0.8,17.75136986,17.2739726,18.04109589,other,348,,348,0.051009684,0.049637852,0.05184223
2241,30,Random 11,1,0.2,80.84863014,78.73972603,83.08219178,other,502,,502,0.161053048,0.156852044,0.165502374
2242,30,Random 11,1,0.8,91.23150685,91.04109589,91.45205479,other,502,,502,0.181736069,0.181356765,0.182175408
2243,30,Random 11,3,0.2,9.267808219,8.945205479,9.547945205,other,502,,502,0.018461769,0.017819134,0.019019811
2244,30,Random 11,3,0.8,9.556164384,9.506849315,9.575342466,other,502,,502,0.019036184,0.018937947,0.019074387
1885,2,Random 12,1,0.2,36.23150685,27.63013699,50.23287671,other,52,,52,0.696759747,0.531348788,0.96601686
1886,2,Random 12,1,0.8,70.32191781,69.30136986,71.05479452,other,52,,52,1.352344573,1.332718651,1.366438356
1887,2,Random 12,3,0.2,0.547945205,0.547945205,0.547945205,other,52,,52,0.010537408,0.010537408,0.010537408
1888,2,Random 12,3,0.8,0.547945205,0.547945205,0.547945205,other,52,,52,0.010537408,0.010537408,0.010537408
2005,10,Random 12,1,0.2,67.47739726,64.39726027,70.1369863,other,146,,146,0.462173954,0.441077125,0.480390317
2006,10,Random 12,1,0.8,84.46164384,84.15068493,84.87671233,other,146,,146,0.57850441,0.576374554,0.581347345
2007,10,Random 12,3,0.2,4.121232877,3.630136986,4.643835616,other,146,,146,0.028227622,0.024863952,0.031807093
2008,10,Random 12,3,0.8,4.735616438,4.630136986,4.767123288,other,146,,146,0.032435729,0.031713267,0.032651529
2125,20,Random 12,1,0.2,77.22739726,74.75342466,79.56164384,other,348,,348,0.221917808,0.214808692,0.228625413
2126,20,Random 12,1,0.8,88.42465753,88.19178082,88.64383562,other,348,,348,0.254093843,0.253424658,0.254723666
2127,20,Random 12,3,0.2,7.136986301,6.821917808,7.301369863,other,348,,348,0.020508581,0.019603212,0.020980948
2128,20,Random 12,3,0.8,7.343150685,7.246575342,7.356164384,other,348,,348,0.021101008,0.020823492,0.021138403
2245,30,Random 12,1,0.2,81.40616438,79.5890411,83.08219178,other,502,,502,0.162163674,0.158543907,0.165502374
2246,30,Random 12,1,0.8,90.8260274,90.53424658,91.06849315,other,502,,502,0.180928341,0.180347105,0.181411341
2247,30,Random 12,3,0.2,12.2369863,10.20547945,13.54794521,other,502,,502,0.024376467,0.02032964,0.026987939
2248,30,Random 12,3,0.8,24.03219178,20.39726027,25.75342466,other,502,,502,0.047872892,0.040631993,0.051301643
1889,2,Random 13,1,0.2,54.29452055,47.01369863,58.50684932,other,52,,52,1.044125395,0.904109589,1.125131718
1890,2,Random 13,1,0.8,77.84383562,77.09589041,78.31506849,other,52,,52,1.496996839,1.482613277,1.506059009
1891,2,Random 13,3,0.2,0.547945205,0.547945205,0.547945205,other,52,,52,0.010537408,0.010537408,0.010537408
1892,2,Random 13,3,0.8,0.547945205,0.547945205,0.547945205,other,52,,52,0.010537408,0.010537408,0.010537408
2009,10,Random 13,1,0.2,70.37260274,66.84931507,72.38356164,other,146,,146,0.482004128,0.457872021,0.495777819
2010,10,Random 13,1,0.8,85.4739726,85.04109589,85.75342466,other,146,,146,0.585438168,0.58247326,0.587352224
2011,10,Random 13,3,0.2,6.580821918,5.123287671,7.698630137,other,146,,146,0.045074123,0.035091011,0.052730343
2012,10,Random 13,3,0.8,8.781506849,8.630136986,8.876712329,other,146,,146,0.060147307,0.059110527,0.0607994
2129,20,Random 13,1,0.2,77.48493151,75.30136986,79.1369863,other,348,,348,0.222657849,0.216383247,0.227405133
2130,20,Random 13,1,0.8,90.00890411,89.78082192,90.34246575,other,348,,348,0.258646276,0.257990868,0.259604787
2131,20,Random 13,3,0.2,5.706164384,5.506849315,5.753424658,other,348,,348,0.016397024,0.01582428,0.016532829
2132,20,Random 13,3,0.8,5.751369863,5.739726027,5.753424658,other,348,,348,0.016526925,0.016493466,0.016532829
2249,30,Random 13,1,0.2,80.26986301,77.98630137,82.67123288,other,502,,502,0.159900126,0.155351198,0.164683731
2250,30,Random 13,1,0.8,91.0369863,90.73972603,91.42465753,other,502,,502,0.181348578,0.180756426,0.182120832
2251,30,Random 13,3,0.2,13.41712329,12.09589041,14.56164384,other,502,,502,0.026727337,0.024095399,0.029007259
2252,30,Random 13,3,0.8,15.13219178,14.97260274,15.24657534,other,502,,502,0.030143808,0.029825902,0.030371664
1893,2,Random 14,1,0.2,42.05684932,34.02739726,49.38356164,other,52,,52,0.808785564,0.654373024,0.949683878
1894,2,Random 14,1,0.8,72.60479452,69.97260274,73.60273973,other,52,,52,1.396246048,1.345626976,1.415437303
1895,2,Random 14,3,0.2,0.547945205,0.547945205,0.547945205,other,52,,52,0.010537408,0.010537408,0.010537408
1896,2,Random 14,3,0.8,0.547945205,0.547945205,0.547945205,other,52,,52,0.010537408,0.010537408,0.010537408
2013,10,Random 14,1,0.2,72.25890411,68.63013699,75.7260274,other,146,,146,0.494924001,0.470069431,0.518671421
2014,10,Random 14,1,0.8,86.29109589,85.64383562,86.56164384,other,146,,146,0.591034903,0.586601614,0.592887972
2015,10,Random 14,3,0.2,5.417123288,4.246575342,6.657534247,other,146,,146,0.037103584,0.029086132,0.04559955
2016,10,Random 14,3,0.8,7.740410959,7.561643836,7.794520548,other,146,,146,0.053016513,0.051792081,0.053387127
2133,20,Random 14,1,0.2,77.82465753,74.91780822,80.36986301,other,348,,348,0.223634073,0.215281058,0.230947882
2134,20,Random 14,1,0.8,89.1390411,88.80821918,89.32876712,other,348,,348,0.25614667,0.255196032,0.25669186
2135,20,Random 14,3,0.2,7.939041096,6.767123288,8.561643836,other,348,,348,0.022813336,0.019445757,0.024602425
2136,20,Random 14,3,0.8,9.04109589,8.98630137,9.068493151,other,348,,348,0.025980161,0.025822705,0.026058888
2253,30,Random 14,1,0.2,83.69041096,82.42465753,84.5890411,other,502,,502,0.166713966,0.164192545,0.168504066
2254,30,Random 14,1,0.8,92.50616438,92.32876712,92.61643836,other,502,,502,0.184275228,0.183921847,0.184494897
2255,30,Random 14,3,0.2,15.20342466,13.67123288,16.82191781,other,502,,502,0.030285706,0.027233532,0.033509796
2256,30,Random 14,3,0.8,18.1239726,17.8630137,18.28767123,other,502,,502,0.036103531,0.035583693,0.036429624
1897,2,Random 15,1,0.2,46.08835616,31.91780822,53.42465753,other,52,,52,0.886314542,0.613804004,1.02739726
1898,2,Random 15,1,0.8,73.30479452,72.31506849,73.87671233,other,52,,52,1.409707587,1.390674394,1.420706006
1899,2,Random 15,3,0.2,0.547945205,0.547945205,0.547945205,other,52,,52,0.010537408,0.010537408,0.010537408
1900,2,Random 15,3,0.8,0.547945205,0.547945205,0.547945205,other,52,,52,0.010537408,0.010537408,0.010537408
2017,10,Random 15,1,0.2,61.95616438,56.80821918,66.21917808,other,146,,146,0.42435729,0.389097392,0.453556014
2018,10,Random 15,1,0.8,82.6130137,81.60273973,83.45205479,other,146,,146,0.56584256,0.558922875,0.571589416
2019,10,Random 15,3,0.2,2.739726027,2.739726027,2.739726027,other,146,,146,0.018765247,0.018765247,0.018765247
2020,10,Random 15,3,0.8,2.739726027,2.739726027,2.739726027,other,146,,146,0.018765247,0.018765247,0.018765247
2137,20,Random 15,1,0.2,74.03972603,71.05479452,76.83561644,other,348,,348,0.212757833,0.204180444,0.220792001
2138,20,Random 15,1,0.8,87.57534247,87.20547945,87.95890411,other,348,,348,0.251653283,0.250590458,0.252755472
2139,20,Random 15,3,0.2,8.152054795,7.520547945,8.438356164,other,348,,348,0.023425445,0.02161077,0.02424815
2140,20,Random 15,3,0.8,8.884931507,8.835616438,8.917808219,other,348,,348,0.025531412,0.025389702,0.025625886
2257,30,Random 15,1,0.2,80.05136986,77.50684932,82.38356164,other,502,,502,0.15946488,0.154396114,0.164110681
2258,30,Random 15,1,0.8,91.01712329,90.7260274,91.23287671,other,502,,502,0.181309011,0.180729138,0.181738798
2259,30,Random 15,3,0.2,13.50342466,12.32876712,14.7260274,other,502,,502,0.026899252,0.024559297,0.029334716
2260,30,Random 15,3,0.8,15.89383562,15.63013699,16,other,502,,502,0.031661027,0.031135731,0.03187251
1901,2,Random 16,1,0.2,36.15890411,27.23287671,45.24657534,other,52,,52,0.695363541,0.523709168,0.870126449
1902,2,Random 16,1,0.8,69.25410959,68.67123288,69.75342466,other,52,,52,1.3318098,1.320600632,1.341412013
1903,2,Random 16,3,0.2,0.993835616,0.876712329,1.082191781,other,52,,52,0.019112223,0.016859852,0.02081138
1904,2,Random 16,3,0.8,1.078082192,1.054794521,1.082191781,other,52,,52,0.02073235,0.02028451,0.02081138
2021,10,Random 16,1,0.2,65.77739726,62.84931507,69.21917808,other,146,,146,0.450530118,0.430474761,0.474103959
2022,10,Random 16,1,0.8,83.40547945,82.34246575,84.17808219,other,146,,146,0.571270407,0.563989491,0.576562207
2023,10,Random 16,3,0.2,2.739726027,2.739726027,2.739726027,other,146,,146,0.018765247,0.018765247,0.018765247
2024,10,Random 16,3,0.8,2.739726027,2.739726027,2.739726027,other,146,,146,0.018765247,0.018765247,0.018765247
2141,20,Random 16,1,0.2,78.1390411,76.52054795,80.35616438,other,348,,348,0.224537474,0.219886632,0.230908518
2142,20,Random 16,1,0.8,90.4239726,90,90.64383562,other,348,,348,0.259839002,0.25862069,0.260470792
2143,20,Random 16,3,0.2,6.739726027,6.205479452,7.095890411,other,348,,348,0.019367029,0.017831838,0.02039049
2144,20,Random 16,3,0.8,7.246575342,7.123287671,7.260273973,other,348,,348,0.020823492,0.020469217,0.020862856
2261,30,Random 16,1,0.2,80.80342466,78.2739726,82.05479452,other,502,,502,0.160962997,0.155924248,0.163455766
2262,30,Random 16,1,0.8,90.75479452,90.28767123,91.04109589,other,502,,502,0.180786443,0.179855919,0.181356765
2263,30,Random 16,3,0.2,13.58013699,12.79452055,14.65753425,other,502,,502,0.027052066,0.025487093,0.029198275
2264,30,Random 16,3,0.8,16.61986301,16.10958904,16.79452055,other,502,,502,0.033107297,0.032090815,0.03345522
1905,2,Random 17,1,0.2,41.77945205,26.75342466,52.75342466,other,52,,52,0.803451001,0.514488936,1.014488936
1906,2,Random 17,1,0.8,72.6109589,70.82191781,73.68493151,other,52,,52,1.396364594,1.361959958,1.417017914
1907,2,Random 17,3,0.2,0.547945205,0.547945205,0.547945205,other,52,,52,0.010537408,0.010537408,0.010537408
1908,2,Random 17,3,0.8,0.547945205,0.547945205,0.547945205,other,52,,52,0.010537408,0.010537408,0.010537408
2025,10,Random 17,1,0.2,67.47123288,65.23287671,70.68493151,other,146,,146,0.462131732,0.446800525,0.484143367
2026,10,Random 17,1,0.8,83.88013699,83.45205479,84.17808219,other,146,,146,0.574521486,0.571589416,0.576562207
2027,10,Random 17,3,0.2,3.957534247,3.643835616,4.082191781,other,146,,146,0.027106399,0.024957778,0.027960218
2028,10,Random 17,3,0.8,4.082191781,4.082191781,4.082191781,other,146,,146,0.027960218,0.027960218,0.027960218
2145,20,Random 17,1,0.2,71.30547945,67.50684932,74.09589041,other,348,,348,0.204900803,0.193985199,0.212919225
2146,20,Random 17,1,0.8,86.17945205,85.61643836,86.52054795,other,348,,348,0.247642104,0.246024248,0.248622264
2147,20,Random 17,3,0.2,8.995890411,7.589041096,9.684931507,other,348,,348,0.02585026,0.021807589,0.027830263
2148,20,Random 17,3,0.8,10.57945205,10.43835616,10.67123288,other,348,,348,0.030400724,0.029995276,0.030664462
2265,30,Random 17,1,0.2,79.9609589,77.2739726,82.02739726,other,502,,502,0.159284779,0.153932216,0.16340119
2266,30,Random 17,1,0.8,91.1630137,90.80821918,91.38356164,other,502,,502,0.181599629,0.180892867,0.182038967
2267,30,Random 17,3,0.2,14.1630137,12.47945205,15.15068493,other,502,,502,0.028213175,0.024859466,0.030180647
2268,30,Random 17,3,0.8,16.72945205,16.4109589,16.87671233,other,502,,502,0.033325602,0.032691153,0.033618949
1909,2,Random 18,1,0.2,55.3609589,48.78082192,60.36986301,other,52,,52,1.064633825,0.938092729,1.160958904
1910,2,Random 18,1,0.8,77.94726027,76.84931507,78.50684932,other,52,,52,1.498985774,1.477871444,1.509747102
1911,2,Random 18,3,0.2,0.547945205,0.547945205,0.547945205,other,52,,52,0.010537408,0.010537408,0.010537408
1912,2,Random 18,3,0.8,0.547945205,0.547945205,0.547945205,other,52,,52,0.010537408,0.010537408,0.010537408
2029,10,Random 18,1,0.2,64.97739726,61.28767123,68.21917808,other,146,,146,0.445050666,0.41977857,0.467254644
2030,10,Random 18,1,0.8,83.85479452,83.04109589,84.28767123,other,146,,146,0.574347908,0.568774629,0.577312817
2031,10,Random 18,3,0.2,2.739726027,2.739726027,2.739726027,other,146,,146,0.018765247,0.018765247,0.018765247
2032,10,Random 18,3,0.8,2.739726027,2.739726027,2.739726027,other,146,,146,0.018765247,0.018765247,0.018765247
2149,20,Random 18,1,0.2,74.99315068,69.8630137,78.98630137,other,348,,348,0.215497559,0.200755786,0.22697213
2150,20,Random 18,1,0.8,88.55958904,88.20547945,88.76712329,other,348,,348,0.254481578,0.253464021,0.25507794
2151,20,Random 18,3,0.2,8.469178082,7.260273973,9.698630137,other,348,,348,0.024336719,0.020862856,0.027869627
2152,20,Random 18,3,0.8,11.51986301,10.93150685,11.69863014,other,348,,348,0.033103055,0.031412376,0.033616753
2269,30,Random 18,1,0.2,82.10684932,80.36986301,83.12328767,other,502,,502,0.163559461,0.160099329,0.165584238
2270,30,Random 18,1,0.8,91.55753425,91.17808219,91.80821918,other,502,,502,0.182385526,0.181629646,0.182884899
2271,30,Random 18,3,0.2,12.75068493,11.83561644,13.75342466,other,502,,502,0.025399771,0.023576925,0.02739726
2272,30,Random 18,3,0.8,15.01780822,14.80821918,15.10958904,other,502,,502,0.029915953,0.029498445,0.030098783
1913,2,Random 19,1,0.2,48.67876712,33.67123288,58.01369863,other,52,,52,0.936130137,0.647523709,1.115648051
1914,2,Random 19,1,0.8,74.66643836,73.75342466,75.15068493,other,52,,52,1.435893045,1.41833509,1.445205479
1915,2,Random 19,3,0.2,0.547945205,0.547945205,0.547945205,other,52,,52,0.010537408,0.010537408,0.010537408
1916,2,Random 19,3,0.8,0.547945205,0.547945205,0.547945205,other,52,,52,0.010537408,0.010537408,0.010537408
2033,10,Random 19,1,0.2,64.62876712,60.60273973,69.54794521,other,146,,146,0.442662788,0.415087258,0.476355789
2034,10,Random 19,1,0.8,83.81780822,83.02739726,84.2739726,other,146,,146,0.574094577,0.568680803,0.57721899
2035,10,Random 19,3,0.2,3.517808219,3.123287671,3.780821918,other,146,,146,0.024094577,0.021392381,0.025896041
2036,10,Random 19,3,0.8,3.78630137,3.753424658,3.808219178,other,146,,146,0.025933571,0.025708388,0.026083693
2153,20,Random 19,1,0.2,73.37876712,70.89041096,76.76712329,other,348,,348,0.210858526,0.203708077,0.220595182
2154,20,Random 19,1,0.8,86.67465753,85.78082192,86.94520548,other,348,,348,0.249065108,0.246496615,0.249842544
2155,20,Random 19,3,0.2,7.278767123,6.643835616,7.753424658,other,348,,348,0.020915997,0.019091482,0.022279956
2156,20,Random 19,3,0.8,7.871917808,7.835616438,7.890410959,other,348,,348,0.022620453,0.022516139,0.022673595
2273,30,Random 19,1,0.2,77.99041096,76.26027397,79.8630137,other,502,,502,0.155359384,0.151912896,0.159089669
2274,30,Random 19,1,0.8,89.4869863,89.19178082,89.79452055,other,502,,502,0.178260929,0.17767287,0.178873547
2275,30,Random 19,3,0.2,10.69589041,10.28767123,11.12328767,other,502,,502,0.021306555,0.020493369,0.022157944
2276,30,Random 19,3,0.8,11.52739726,11.42465753,11.57534247,other,502,,502,0.022962943,0.022758282,0.023058451
1845,2,Random 2,1,0.2,38.28424658,20.08219178,48.64383562,other,52,,52,0.736235511,0.386195996,0.935458377
1846,2,Random 2,1,0.8,70.44178082,68.76712329,71.61643836,other,52,,52,1.354649631,1.322444679,1.377239199
1847,2,Random 2,3,0.2,0.547945205,0.547945205,0.547945205,other,52,,52,0.010537408,0.010537408,0.010537408
1848,2,Random 2,3,0.8,0.547945205,0.547945205,0.547945205,other,52,,52,0.010537408,0.010537408,0.010537408
1965,10,Random 2,1,0.2,68.66506849,64.43835616,73.42465753,other,146,,146,0.470308688,0.441358604,0.502908613
1966,10,Random 2,1,0.8,84.04657534,83.42465753,84.56164384,other,146,,146,0.575661475,0.571401764,0.579189341
1967,10,Random 2,3,0.2,2.739726027,2.739726027,2.739726027,other,146,,146,0.018765247,0.018765247,0.018765247
1968,10,Random 2,3,0.8,2.739726027,2.739726027,2.739726027,other,146,,146,0.018765247,0.018765247,0.018765247
2085,20,Random 2,1,0.2,72.23219178,68.53424658,74.45205479,other,348,,348,0.207563769,0.19693749,0.213942686
2086,20,Random 2,1,0.8,86.99383562,86.36986301,87.50684932,other,348,,348,0.249982286,0.248189262,0.251456464
2087,20,Random 2,3,0.2,8.551369863,6.890410959,9.301369863,other,348,,348,0.024572902,0.019800031,0.026728074
2088,20,Random 2,3,0.8,10.24726027,10.09589041,10.35616438,other,348,,348,0.02944615,0.029011179,0.029759093
2205,30,Random 2,1,0.2,80.36849315,77.89041096,82.31506849,other,502,,502,0.1600966,0.155160181,0.16397424
2206,30,Random 2,1,0.8,90.43150685,90.17808219,90.63013699,other,502,,502,0.180142444,0.179637614,0.180538121
2207,30,Random 2,3,0.2,13.92534247,12.34246575,16.53424658,other,502,,502,0.027739726,0.024586585,0.032936746
2208,30,Random 2,3,0.8,21.96438356,20.69863014,22.64383562,other,502,,502,0.043753752,0.041232331,0.045107242
1917,2,Random 20,1,0.2,45.45753425,36.20547945,52.39726027,other,52,,52,0.874183351,0.69625922,1.007639621
1918,2,Random 20,1,0.8,75.8109589,72.76712329,76.68493151,other,52,,52,1.457903056,1.399367756,1.474710221
1919,2,Random 20,3,0.2,0.547945205,0.547945205,0.547945205,other,52,,52,0.010537408,0.010537408,0.010537408
1920,2,Random 20,3,0.8,0.547945205,0.547945205,0.547945205,other,52,,52,0.010537408,0.010537408,0.010537408
2037,10,Random 20,1,0.2,69.47945205,67.04109589,71.28767123,other,146,,146,0.475886658,0.459185588,0.488271721
2038,10,Random 20,1,0.8,84.54863014,83.80821918,85.06849315,other,146,,146,0.579100206,0.574028898,0.582660912
2039,10,Random 20,3,0.2,3.223287671,3.136986301,3.273972603,other,146,,146,0.022077313,0.021486208,0.02242447
2040,10,Random 20,3,0.8,3.273972603,3.273972603,3.273972603,other,146,,146,0.02242447,0.02242447,0.02242447
2157,20,Random 20,1,0.2,74.07808219,70.45205479,76.89041096,other,348,,348,0.212868052,0.202448433,0.220949457
2158,20,Random 20,1,0.8,88.59383562,88.2739726,88.87671233,other,348,,348,0.254579987,0.253660841,0.255392852
2159,20,Random 20,3,0.2,6.244520548,5.95890411,6.493150685,other,348,,348,0.017944025,0.017123288,0.018658479
2160,20,Random 20,3,0.8,6.55,6.506849315,6.561643836,other,348,,348,0.018821839,0.018697843,0.018855298
2277,30,Random 20,1,0.2,81.20410959,78.15068493,83.09589041,other,502,,502,0.161761174,0.155678655,0.165529662
2278,30,Random 20,1,0.8,90.64452055,90.43835616,90.80821918,other,502,,502,0.180566774,0.180156088,0.180892867
2279,30,Random 20,3,0.2,15.33150685,14.30136986,16.56164384,other,502,,502,0.03054085,0.028488785,0.032991322
2280,30,Random 20,3,0.8,17.94931507,17.61643836,18.10958904,other,502,,502,0.035755608,0.035092507,0.036074879
1921,2,Random 21,1,0.2,44.26712329,30,52.57534247,other,52,,52,0.851290833,0.576923077,1.011064278
1922,2,Random 21,1,0.8,72.56849315,70.46575342,73.49315068,other,52,,52,1.395547945,1.355110643,1.413329821
1923,2,Random 21,3,0.2,0.547945205,0.547945205,0.547945205,other,52,,52,0.010537408,0.010537408,0.010537408
1924,2,Random 21,3,0.8,0.547945205,0.547945205,0.547945205,other,52,,52,0.010537408,0.010537408,0.010537408
2041,10,Random 21,1,0.2,70.33219178,66.12328767,73.63013699,other,146,,146,0.481727341,0.452899231,0.504316007
2042,10,Random 21,1,0.8,85.28219178,85.05479452,85.5890411,other,146,,146,0.584124601,0.582567086,0.586226309
2043,10,Random 21,3,0.2,3.432191781,3.219178082,3.547945205,other,146,,146,0.023508163,0.022049165,0.024300995
2044,10,Random 21,3,0.8,3.558219178,3.547945205,3.561643836,other,146,,146,0.024371364,0.024300995,0.024394821
